signal_date,eligible_asset_count,regime,maximum_weight,effective_number_assets
2018-04-27,7,RISK,0.5521789012092423,2.949162318355386
2018-05-31,7,RISK,0.5464364405874257,2.9911530002561757
2018-06-29,7,RISK,0.4934265137765009,3.473263516571508
2018-07-31,7,RISK,0.526091986886249,3.1659859127563337
2018-08-31,7,RISK,0.4514685387023101,3.898689237203842
2018-09-28,7,RISK,0.40646511700589505,4.385610744748944
2018-10-31,7,RISK,0.5481959155883627,2.9718036217329833
2018-11-30,7,RISK,0.6124269547887933,2.491157795447214
2018-12-28,7,RISK,0.6634975007699047,2.1745544134559514
2019-01-31,7,RISK,0.6119290737399111,2.493615046635988
2019-02-28,7,RISK,0.5912656523842335,2.637179227646331
2019-03-29,7,RISK,0.4950631143467043,3.436647110797643
2019-04-30,7,RISK,0.43039781066376326,4.040235752933339
2019-05-31,7,RISK,0.4908254956301882,3.429238945764821
2019-06-28,7,RISK,0.36099798455946086,4.839887408993544
2019-07-31,7,RISK,0.2925527425534353,5.789629732079007
2019-08-30,7,RISK,0.27158338306162455,5.942109734110243
2019-09-30,8,RISK,0.20958135420853619,7.176127624538691
2019-10-31,8,RISK,0.22954922369390243,6.9366658606746885
2019-11-29,8,RISK,0.19975372281603934,7.232902799738571
2019-12-31,8,RISK,0.2483686160348061,6.73964777814687
2020-01-23,8,RISK,0.28500883849471914,6.231935489612608
2020-02-28,8,RISK,0.37804302747769014,4.714693551055794
2020-03-31,9,RISK,0.26937437826143806,7.086967586114899
2020-04-30,9,RISK,0.22503058440281004,7.7098718951252705
2020-05-29,9,RISK,0.20868654981763252,7.868385727822241
2020-06-30,9,RISK,0.25678690829347633,6.915543129703818
2020-07-31,9,RISK,0.33261985980566494,5.9550364538836265
2020-08-31,9,RISK,0.2072392127835413,7.979334536563437
2020-09-30,9,RISK,0.17130519817850595,7.897481444715934
2020-10-30,9,RISK,0.18493748622105072,7.732456919532122
2020-11-30,9,RISK,0.20477969073480773,7.664898299948171
2020-12-31,9,RISK,0.16751943059825392,8.357167369752013
2021-01-29,9,RISK,0.17517301221259962,8.511693899964454
2021-02-26,9,RISK,0.1994130610573332,8.252129408027239
2021-03-31,9,RISK,0.22903585713305635,7.777206109251088
2021-04-30,9,RISK,0.19749112879281305,8.122498962394072
2021-05-31,9,RISK,0.1895376586906425,8.276442733975527
2021-06-30,9,RISK,0.1551274162929162,8.545386744846725
2021-07-30,9,RISK,0.2016870190688827,8.2027129956199
2021-08-31,9,RISK,0.22272643452121418,7.820195631028952
2021-09-30,9,RISK,0.24069842828759916,7.47561662491261
2021-10-29,9,RISK,0.24369399934402267,7.545405533434412
2021-11-30,9,RISK,0.2278879848397397,7.822002252002419
2021-12-31,9,RISK,0.24565860519117635,7.4453179292226475
2022-01-28,9,RISK,0.24852925219807698,7.43582309950766
2022-02-28,9,RISK,0.33199795903154855,5.917222900458775
2022-03-31,9,RISK,0.3430697114206683,5.704086333240687
2022-04-29,9,RISK,0.35249053502992156,5.548663041078802
2022-05-31,9,RISK,0.3740975175997269,5.2083625724243525
2022-06-30,9,RISK,0.39296022663235824,4.952204504233255
2022-07-29,9,RISK,0.32751880818879603,5.951835138443134
2022-08-31,9,RISK,0.3081400629153123,6.328022324724604
2022-09-30,9,RISK,0.3006561681544847,6.434421030427878
2022-10-31,9,RISK,0.35457035523368646,5.531353985870913
2022-11-30,9,RISK,0.30119376216168453,6.45759551936011
2022-12-30,9,RISK,0.2911088682381007,6.553296935146784
2023-01-31,9,RISK,0.23185589539815507,7.282537058052471
2023-02-28,9,RISK,0.19991915137485552,7.875458079529736
2023-03-31,9,RISK,0.267816493704826,6.91158301765011
2023-04-28,9,RISK,0.29360700793449307,6.57785680438802
2023-05-31,9,RISK,0.3389276787894032,5.8048530875869355
2023-06-30,9,RISK,0.3036571696799374,6.380944905589695
2023-07-31,9,RISK,0.3188438724158549,6.088490244744934
2023-08-31,9,RISK,0.30558145733281367,6.266188694941755
2023-09-28,9,RISK,0.25305733675835224,7.034039720954217
2023-10-31,9,RISK,0.2698596258507892,6.707331807967493
2023-11-30,9,RISK,0.25952123024456575,6.90030563183475
2023-12-29,9,RISK,0.2553879676092997,7.028321448681326
2024-01-31,9,RISK,0.23245201246932082,7.041710251949063
2024-02-29,9,RISK,0.2632976525440403,6.594918574987879
2024-03-29,9,RISK,0.23872947221723972,6.934192151361017
2024-04-30,9,RISK,0.19910136586189087,7.7997374274017295
2024-05-31,9,RISK,0.17268920008517205,8.416384219214406
2024-06-28,9,RISK,0.17360020398891107,8.480502794407906
2024-07-31,9,RISK,0.1851134645586122,8.386673148329285
2024-08-30,9,RISK,0.20464307275000182,7.679471344917673
2024-09-30,9,RISK,0.24974259516322733,7.414355201343536
2024-10-31,9,RISK,0.26472978277617576,7.050240858295293
2024-11-29,9,RISK,0.21481345433390145,7.644598529407497
2024-12-31,9,RISK,0.16112445397058753,8.286775777586326
2025-01-27,9,RISK,0.20258333388008987,7.635901875691314
2025-02-28,9,RISK,0.22915346048613744,7.204405057144501
