execution_date,510300.SS,510500.SS,513500.SS,513100.SS,159920.SZ,513520.SS,513030.SS,518880.SS,159980.SZ,511010.SS
2015-11-02,0.00000000,0.00000000,0.14285714,0.14285714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.71428571
2016-02-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.14285714,0.00000000,0.85714286
2016-03-01,0.00000000,0.00000000,0.14285714,0.00000000,0.00000000,0.00000000,0.00000000,0.14285714,0.00000000,0.71428571
2016-04-01,0.00000000,0.00000000,0.14285714,0.14285714,0.00000000,0.00000000,0.00000000,0.14285714,0.00000000,0.57142857
2016-05-03,0.00000000,0.00000000,0.14285714,0.00000000,0.00000000,0.00000000,0.14285714,0.14285714,0.00000000,0.57142857
2016-06-01,0.00000000,0.00000000,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.14285714,0.00000000,0.28571429
2016-07-01,0.00000000,0.00000000,0.14285714,0.14285714,0.14285714,0.00000000,0.00000000,0.14285714,0.00000000,0.42857143
2016-08-01,0.00000000,0.00000000,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.14285714,0.00000000,0.28571429
2016-09-01,0.14285714,0.14285714,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.14285714,0.00000000,0.00000000
2016-12-01,0.14285714,0.14285714,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.00000000,0.00000000,0.14285714
2017-02-03,0.14285714,0.00000000,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.00000000,0.00000000,0.28571429
2017-03-01,0.14285714,0.14285714,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.14285714,0.00000000,0.00000000
2017-05-02,0.14285714,0.00000000,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.14285714,0.00000000,0.14285714
2017-06-01,0.14285714,0.00000000,0.00000000,0.14285714,0.14285714,0.00000000,0.14285714,0.14285714,0.00000000,0.28571429
2017-07-03,0.14285714,0.00000000,0.00000000,0.14285714,0.14285714,0.00000000,0.14285714,0.00000000,0.00000000,0.42857143
2017-08-01,0.14285714,0.14285714,0.00000000,0.14285714,0.14285714,0.00000000,0.14285714,0.14285714,0.00000000,0.14285714
2017-11-01,0.14285714,0.14285714,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.00000000,0.00000000,0.14285714
2017-12-01,0.14285714,0.00000000,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.00000000,0.00000000,0.28571429
2018-03-01,0.14285714,0.00000000,0.14285714,0.14285714,0.14285714,0.00000000,0.00000000,0.00000000,0.00000000,0.42857143
2018-04-02,0.00000000,0.00000000,0.00000000,0.14285714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.85714286
2018-05-02,0.00000000,0.00000000,0.00000000,0.14285714,0.14285714,0.00000000,0.00000000,0.00000000,0.00000000,0.71428571
2018-06-01,0.00000000,0.00000000,0.14285714,0.14285714,0.14285714,0.00000000,0.00000000,0.00000000,0.00000000,0.57142857
2018-07-02,0.00000000,0.00000000,0.14285714,0.14285714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.71428571
2018-08-01,0.00000000,0.00000000,0.14285714,0.14285714,0.14285714,0.00000000,0.14285714,0.00000000,0.00000000,0.42857143
