execution_date,510300.SS,510500.SS,513500.SS,513100.SS,159920.SZ,513520.SS,513030.SS,518880.SS,159980.SZ,511010.SS,511260.SS,511880.SS
2014-12-01,0.10253496549421763,0.09605802246035948,0.13725916017738138,0.1207727259382754,0.09893068148532178,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0
2015-01-05,0.0689357576339632,0.08801719840895375,0.1511257144545985,0.1345271857677357,0.11294969929030443,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0
2015-02-02,0.05336259802365772,0.07874869227995765,0.15301898704266498,0.13372125486764344,0.125975812006761,0.0,0.0,0.12183932244598186,0.0,0.33333333333333337,0.0,0.0
2015-03-02,0.05353978903116643,0.08121829928754594,0.14799021315249658,0.1282252529145146,0.14458200116983208,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0
2015-04-01,0.05999725263520925,0.08455337524704937,0.14806908781937395,0.138889835835951,0.12404600401797208,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0
2015-05-04,0.08423139963306897,0.08395524882750077,0.1869762615643824,0.1527064821896538,0.04768616334094963,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0
2015-06-01,0.06699402634501161,0.05874164980381213,0.21475827463684163,0.17139688936016678,0.04366471540972342,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0
2015-07-01,0.044898763951974806,0.03827296759148326,0.2537704344857804,0.1764992969001357,0.04211409262618142,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0
2015-08-03,0.039418818441890616,0.03221286282592699,0.2222595629292467,0.15055320024738014,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0
2015-09-01,0.0,0.0,0.13343017208802546,0.0887920501341967,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
2015-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-11-02,0.0,0.0,0.1305286952515196,0.0916935269707026,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
2015-12-01,0.0,0.0,0.12456126289677266,0.09766095932544953,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
2016-01-04,0.0,0.0,0.12507990824252266,0.09714231397969957,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0
2016-03-01,0.0,0.0,0.10720544046594742,0.0,0.0,0.0,0.0,0.11501678175627479,0.0,0.7777777777777778,0.0,0.0
2016-04-01,0.0,0.0,0.12734372715190617,0.09265652292438867,0.0,0.0,0.0,0.11333308325703852,0.0,0.6666666666666667,0.0,0.0
2016-05-03,0.0,0.0,0.13515092681134894,0.0,0.0,0.0,0.1077389100180296,0.0904434965039548,0.0,0.6666666666666667,0.0,0.0
2016-06-01,0.0,0.0,0.14010500053729766,0.1204901392107936,0.08937604367312621,0.0,0.10228520074262827,0.10329917139170978,0.0,0.4444444444444444,0.0,0.0
2016-07-01,0.0,0.0,0.14118863917597502,0.14096427368692185,0.07582510482896002,0.0,0.0,0.08646642675258757,0.0,0.5555555555555556,0.0,0.0
2016-08-01,0.0,0.0,0.1178080592081735,0.15704967733197756,0.08451397964657882,0.0,0.10311154640616867,0.093072292962657,0.0,0.4444444444444444,0.0,0.0
2016-09-01,0.11239480786834827,0.07842161211895395,0.12188259211126291,0.17305956552929233,0.09240787964894517,0.0,0.10654121393907634,0.09307010656189878,0.0,0.2222222222222222,0.0,0.0
2016-10-10,0.11651194221227497,0.09144748547689846,0.10249061949385238,0.10544599223699008,0.09831968568943548,0.0,0.1216732339335378,0.14188881873478865,0.0,0.2222222222222222,0.0,0.0
2016-11-01,0.12696875901177465,0.10436062242868718,0.1091884401750115,0.10300905875404344,0.09242138714573285,0.0,0.12123349471780524,0.12059601554472302,0.0,0.2222222222222222,0.0,0.0
2016-12-01,0.1521696488481222,0.1223815503797061,0.0841201305199554,0.08572977095183619,0.08264000691509399,0.0,0.1396255590519528,0.0,0.0,0.33333333333333337,0.0,0.0
2017-01-03,0.14368827287133518,0.12650104864925246,0.048611850626235555,0.10474790517530348,0.09994467654962831,0.0,0.14317291279491165,0.0,0.0,0.33333333333333337,0.0,0.0
2017-02-03,0.1532903227760758,0.0,0.04563953801903476,0.1110672401769172,0.11510887723112025,0.0,0.13044957735240753,0.0,0.0,0.4444444444444444,0.0,0.0
2017-03-01,0.1244515100090484,0.0965288451834229,0.03990766455237241,0.12520294575866983,0.1276409828295581,0.0,0.10337597670409186,0.16066985274061432,0.0,0.2222222222222222,0.0,0.0
2017-04-05,0.15165372418767986,0.10787676032600746,0.049526123807854414,0.09850047648005937,0.12356581540811924,0.0,0.10492481267922452,0.14173006488883297,0.0,0.2222222222222222,0.0,0.0
2017-05-02,0.1475520492101361,0.0,0.06322604142590417,0.09384133161539061,0.1235511874809617,0.0,0.09293072738648457,0.14556532954778956,0.0,0.33333333333333337,0.0,0.0
2017-06-01,0.12947245727052187,0.0,0.0,0.0839922622450852,0.1189668092738127,0.0,0.0806082167521274,0.1425158100140084,0.0,0.4444444444444444,0.0,0.0
2017-07-03,0.1305858414265023,0.0,0.0,0.09892944195166078,0.13632423926300816,0.0,0.07860492180327319,0.0,0.0,0.5555555555555556,0.0,0.0
2017-08-01,0.1147940600531606,0.07789448124298928,0.0,0.0955038821451532,0.12795901041002497,0.0,0.0813222219922598,0.16919301082307883,0.0,0.33333333333333337,0.0,0.0
2017-09-01,0.1061790274617097,0.08199985536627241,0.0,0.09658753608729728,0.11003533780113779,0.0,0.11672609275743205,0.15513881719281736,0.0,0.33333333333333337,0.0,0.0
2017-10-09,0.11711946081374744,0.07894313762738946,0.0,0.1186821103651849,0.10345897813697226,0.0,0.11048392060819454,0.13797905911517805,0.0,0.33333333333333337,0.0,0.0
2017-11-01,0.12196548829456619,0.07899264625595111,0.16327189356862865,0.10694397218427974,0.08613686044458467,0.0,0.10935580591865625,0.0,0.0,0.33333333333333337,0.0,0.0
2017-12-01,0.09037058439764567,0.0,0.1615564941947318,0.11824802511336278,0.0870029408542991,0.0,0.09837751099551621,0.0,0.0,0.4444444444444444,0.0,0.0
2018-01-02,0.09105863267998096,0.0,0.1260247985583751,0.11038614138015422,0.10525297950874908,0.0,0.12283300342829621,0.0,0.0,0.4444444444444444,0.0,0.0
2018-02-01,0.08888715942915404,0.0,0.12656292906558944,0.10969509159720744,0.10718312513170462,0.0,0.12322725033190007,0.0,0.0,0.4444444444444444,0.0,0.0
2018-03-01,0.11717844777064641,0.0,0.11181836682404553,0.09831505130035799,0.11713257854939442,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0
2018-04-02,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0
2018-05-02,0.0,0.0,0.0,0.09796167179292334,0.12426055042929889,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
2018-06-01,0.0,0.0,0.1383355016610223,0.09118746484222356,0.10381036683008744,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0
2018-07-02,0.0,0.0,0.1261236015236158,0.09609862069860642,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
2018-08-01,0.0,0.0,0.12700631609225954,0.09657966045849972,0.1024357887273735,0.0,0.11842267916631163,0.0,0.0,0.5555555555555556,0.0,0.0
2018-09-03,0.0,0.0,0.12857932926554,0.0936428929566822,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
2018-10-08,0.0,0.0,0.13356838314819985,0.08865383907402236,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
2018-11-01,0.0,0.0,0.0837978794987328,0.058039252843937544,0.0,0.0,0.0,0.19149620099066297,0.0,0.6666666666666667,0.0,0.0
2018-12-03,0.0,0.0,0.0797243871675754,0.054178776571436785,0.0,0.0,0.0,0.19943016959432114,0.0,0.6666666666666667,0.0,0.0
2019-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0
2019-02-01,0.0,0.0,0.0,0.0,0.060810740219939666,0.0,0.0,0.16141148200228253,0.0,0.7777777777777778,0.0,0.0
2019-03-01,0.0712383114754772,0.0663670896162255,0.07956580497260084,0.0,0.10079832587103967,0.0,0.0,0.23758602362021228,0.0,0.4444444444444444,0.0,0.0
2019-04-01,0.069427908523932,0.061673258994249386,0.11031826952960165,0.0915624766038722,0.12357802806710977,0.0,0.0,0.21010672494790164,0.0,0.33333333333333337,0.0,0.0
2019-05-06,0.05357702755571622,0.04602726410479663,0.12816425284862906,0.10545292734667162,0.12330486625590206,0.0,0.14374422551598137,0.1775072141500809,0.0,0.2222222222222222,0.0,0.0
2019-06-03,0.06351890876875103,0.0513793403413044,0.13063241773573306,0.10463173616921817,0.0,0.0,0.0,0.2053931525405489,0.0,0.4444444444444444,0.0,0.0
2019-07-01,0.06894982779361027,0.0573726704560236,0.13177476291400478,0.09891881464755263,0.12445257837388826,0.0,0.15130270025889117,0.14500642333380706,0.0,0.2222222222222222,0.0,0.0
2019-08-01,0.09134634143222851,0.07661457933360423,0.1310210651449219,0.10181809101291835,0.11771264814039019,0.0,0.14562406007756667,0.11364099263614794,0.0,0.2222222222222222,0.0,0.0
2019-09-02,0.10482931020546678,0.08729716567005413,0.12427470150905473,0.10255965573904562,0.0,0.0,0.1612107965991683,0.08649503694387707,0.0,0.33333333333333337,0.0,0.0
2019-10-08,0.11249709015261361,0.08516164871865325,0.12909678758575996,0.10371739552261115,0.0,0.0,0.150643914364211,0.08554983032281768,0.0,0.33333333333333337,0.0,0.0
