execution_date,510300.SS,510500.SS,513500.SS,513100.SS,159920.SZ,513520.SS,513030.SS,518880.SS,159980.SZ,511010.SS,511260.SS,511880.SS
2021-08-02,0.090218891146849209,0.11984838650021314,0.11473974200901714,0.094408679406733989,0.075618778557527355,0.10284937388098114,0.11102361456885082,0.20168757264859999,0.089604961281227288,0,0,0
2021-09-01,0.081271113071905737,0.1022566200394535,0.13010805138698989,0.10506051105081865,0.062199526275469985,0.095839054598391565,0.10651588106834818,0.22271966709402169,0.09402957541460065,0,0,0
2021-10-08,0.07729575857311563,0.084603122048038146,0.13396407787597103,0.093377661426112035,0.059646345193360407,0.088245769294798562,0.1088526139488134,0.24069971684064917,0.11331493479914145,0,0,0
2021-11-01,0.092052481514899018,0.09387134198673483,0.12354574281272659,0.087778801203655943,0.078185458496236149,0.083771157097868115,0.11149073937406005,0.24368919808686892,0.08561507942695043,0,0,0
2021-12-01,0.10735617832157751,0.10677773001945817,0.11235075244388083,0.093878915255119919,0.086996350280267948,0.07983727833070145,0.10841699767283873,0.22788792562923757,0.076497872046917714,0,0,0
2022-01-04,0.11382466468026246,0.13339695215327144,0.089686086281459951,0.071821703832028239,0.08827746900913705,0.091151616599040683,0.090198808059585175,0.24567369818057627,0.075969001204638745,0,0,0
2022-02-07,0.10862084427456487,0.1252667607605254,0.092496655681210641,0.068600582151035386,0.079984055292345174,0.086145656917471919,0.091359938193882745,0.24852884155644883,0.098996665172515153,0,0,0
2022-03-01,0.10423963632654058,0.11073254813931314,0.070758298262809938,0.053592366734395214,0.067771618718447765,0.080193845600067579,0.075937733907501873,0.33197838132394109,0.10479557098698279,0,0,0
2022-04-01,0.079437444926158993,0.084897652911877425,0.085611718829723876,0.058221704397568616,0.047229216844008409,0.093900241154770123,0.084119929954697525,0.34307097310998441,0.12351111787121075,0,0,0
2022-05-05,0.074802114040490669,0.068070041987671331,0.085342140103325539,0.062950890278850521,0.050811279451602603,0.10058951851183449,0.082495204261943497,0.35248891087314921,0.12244990049113214,0,0,0
2022-06-01,0.070797506542925395,0.067458383995836368,0.090614062425361463,0.061757666109808845,0.047458832992949694,0.10716647101587791,0.076050598890819193,0.37409801301210655,0.10459846501431466,0,0,0
2022-07-01,0.081132662950263904,0.071056840200206903,0.07641799075260633,0.060672267784181652,0.063182329579585236,0.10518375241265163,0.066181575379224644,0.39296296566243977,0.08320961527883998,0,0,0
2022-08-01,0.11420030716473442,0.10885437993061647,0.076226689991496122,0.062601043875733176,0.069333364338289821,0.11584051150843135,0.05859015924223019,0.32753050805507383,0.066823035893394653,0,0,0
2022-09-01,0.12115700692243328,0.11180842222528097,0.077954704578619055,0.06905835855182417,0.087868739306676519,0.094504835529222883,0.062257757438108241,0.3081353069183318,0.06725486852950309,0,0,0
2022-10-10,0.1281432720296235,0.10939921581887332,0.07547198202458319,0.063045925234330877,0.10243621186692239,0.084531640523771628,0.064222251754068718,0.30066073457664483,0.072088766171181595,0,0,0
2022-11-01,0.11241343556558105,0.095378703876617274,0.064215417894931945,0.053908024527190693,0.095711616593102067,0.074741598237829124,0.059571437749300585,0.35456852686677276,0.089491238688674549,0,0,0
2022-12-01,0.10847298572617474,0.11626043803030182,0.074268696558049088,0.061141761264527514,0.070933711420497245,0.10021433679381875,0.068001540115462999,0.30119820487353194,0.099508325217635848,0,0,0
2023-01-03,0.10173537901067432,0.13611963679244757,0.072330570637362854,0.060353884288853674,0.061125282707553824,0.10091801288115607,0.070337341771616407,0.29112434354937111,0.1059555483609642,0,0,0
2023-02-01,0.099847703227408449,0.17834873276347527,0.081378319116864772,0.066791955925651528,0.057011332463120547,0.10532436286726257,0.078433472492188863,0.2318605574476573,0.10100356369637076,0,0,0
2023-03-01,0.10121155246374491,0.16832670013812309,0.08460042093796441,0.070680972499618869,0.074585397391139813,0.10834997193154534,0.080647013762913111,0.19992124060799102,0.11167673026695946,0,0,0
