window_years,window_start,window_end,cagr,max_drawdown,sharpe
5,2020-06-01,2025-05-30,0.07127292,-0.08523851,0.82771340
5,2020-06-30,2025-06-30,0.07664661,-0.08523851,0.88836900
5,2020-07-31,2025-07-31,0.06948628,-0.08523851,0.82794957
5,2020-08-31,2025-08-29,0.06609877,-0.08523851,0.79413912
5,2020-09-30,2025-09-30,0.08856569,-0.08375934,1.07129020
5,2020-11-02,2025-10-31,0.10411198,-0.08375934,1.21868719
5,2020-11-30,2025-11-28,0.09510561,-0.08375934,1.09938579
5,2020-12-31,2025-12-31,0.09428873,-0.08375934,1.08488557
5,2021-02-01,2026-01-30,0.10540139,-0.08375934,1.19149520
5,2021-03-01,2026-02-27,0.10299400,-0.08375934,1.13835878
5,2021-03-31,2026-03-31,0.08117131,-0.13106185,0.88082647
5,2021-04-30,2026-04-30,0.08607567,-0.13106185,0.91888024
5,2021-05-31,2026-05-29,0.09309630,-0.13106185,0.98217637
5,2021-06-30,2026-06-30,0.09115313,-0.13106185,0.94211160
5,2021-08-02,2026-07-31,0.08232036,-0.13106185,0.84684134
5,2021-08-31,2026-08-31,0.08298382,-0.13106185,0.85225269
