signal_date,positive_asset_count,risk_budget,fallback_weight
2023-04-28,9,1.0,0.0
2023-05-31,5,0.5555555555555556,0.4444444444444444
2023-06-30,6,0.6666666666666666,0.33333333333333337
2023-07-31,9,1.0,0.0
2023-08-31,6,0.6666666666666666,0.33333333333333337
2023-09-28,4,0.4444444444444444,0.5555555555555556
2023-10-31,3,0.3333333333333333,0.6666666666666667
2023-11-30,5,0.5555555555555556,0.4444444444444444
2023-12-29,6,0.6666666666666666,0.33333333333333337
2024-01-31,6,0.6666666666666666,0.33333333333333337
2024-02-29,6,0.6666666666666666,0.33333333333333337
2024-03-29,6,0.6666666666666666,0.33333333333333337
2024-04-30,8,0.8888888888888888,0.11111111111111116
2024-05-31,8,0.8888888888888888,0.11111111111111116
2024-06-28,7,0.7777777777777778,0.2222222222222222
2024-07-31,8,0.8888888888888888,0.11111111111111116
2024-08-30,7,0.7777777777777778,0.2222222222222222
2024-09-30,8,0.8888888888888888,0.11111111111111116
2024-10-31,8,0.8888888888888888,0.11111111111111116
2024-11-29,7,0.7777777777777778,0.2222222222222222
2024-12-31,8,0.8888888888888888,0.11111111111111116
2025-01-27,8,0.8888888888888888,0.11111111111111116
2025-02-28,7,0.7777777777777778,0.2222222222222222
2025-03-31,6,0.6666666666666666,0.33333333333333337
2025-04-30,5,0.5555555555555556,0.4444444444444444
2025-05-30,7,0.7777777777777778,0.2222222222222222
2025-06-30,9,1.0,0.0
2025-07-31,9,1.0,0.0
2025-08-29,9,1.0,0.0
2025-09-30,9,1.0,0.0
2025-10-31,9,1.0,0.0
2025-11-28,9,1.0,0.0
2025-12-31,9,1.0,0.0
2026-01-30,9,1.0,0.0
2026-02-27,9,1.0,0.0
2026-03-31,5,0.5555555555555556,0.4444444444444444
2026-04-30,7,0.7777777777777778,0.2222222222222222
2026-05-29,7,0.7777777777777778,0.2222222222222222
2026-06-30,6,0.6666666666666666,0.33333333333333337
2026-07-31,4,0.4444444444444444,0.5555555555555556
2026-08-31,6,0.6666666666666666,0.33333333333333337
